Ramat Gan,0949943258,4770370105
Cestas,2421828090,7722383475
Watangan,3934427235,0774626909
San Diego,8644510754,3269777205
Tengah,1325043370,2579918531
Rominimbang,8161532028,6121009721
Mranggen,7774908404,8837879903
Nouakchott,6871066861,9510647586
Líbano,6046084547,8272691795
Cruzeiro,0325023778,6216094696
Dolní Dunajovice,9205988642,3975554487
Milíkov,9894139159,1804232777
Perjuangan,9758265539,8175764414
Zainsk,9635916205,6921329763
Kalvola,8669866528,9375602494
Bisert’,0710627483,1247801179
Puncakbaru,1597860360,3174128773
Mulhouse,5330823986,4560675767
Chervyen’,9159705558,0235413003
Petrich,4939507580,2146103868
Kadyy,3301696465,3557401421
Zargarān,8759051795,8810571940
Sanana,3616148359,3046590148
Mount Frere,9990444277,0591251310
Pandak,0498259226,4985036951
Yang Chum Noi,5886907157,5754328907
Venlo,3747972837,8182576563
Peace River,9873064842,6298629912
Anqing,8544848397,2040229531
Xinan,4137968691,4935278919
Pivovarikha,4296846191,1730349536
Koshki,5579594917,4746883831
Baja Mar,2119833753,6353164408
Changle,1613682905,5007406767
Shuanghe,1337853623,9611751915
General Alvear,1058162225,3778280147
Shali,4711086986,9253905425
Hwange,1271200953,6835186690
Qutun,3719043606,8465089302
Hegarmanah,1770558233,7135104625
Chengjiao,8720109784,7842881375
Salerno,8712384607,4979876889
Segovia,6450657472,1452558949
Firavitoba,9297111696,6495286317
Huayllati,5728819494,3720538184
Radès,7656529152,3924530432
Gândara de Aquém,5312347795,2958780287
Banjar Peguyangan,5094151827,0934352739
Osh,6960223571,6314188954
Göteborg,3307889176,6908980383
Krajan Pangkah Kulon,5040623550,6533225677
Milevsko,8101909680,8175873884
San Diego,5267310611,2664228773
Waitara,0208401776,7056847250
Göteborg,9814709441,0700395989
Santa Cruz de Guacas,8745586780,5301416871
Guanzhou,2180614705,0794041892
Dili,3810177229,8135233469
Na Klang,2424667063,1049898141
Gadon,2271823196,3207643922
Vanderbijlpark,6954667420,6829251648
Estacion,4882517973,0627127940
Unión,1028235003,8725685228
Maogou,8364869345,3702525912
Kawasaki,9489508101,9200588166
Gombong,4156589285,3103266197
Benito Juarez,4343021904,7979542142
Votkinsk,7436760092,5292010472
Aioi,0372209157,9285587496
Targanice,2545387304,1510076956
Bojnik,1594894280,9213891490
Babao,8580856426,9903388241
Mogi das Cruzes,2342916639,7463166341
Perštejn,3240464470,3744987523
Saky,9474338434,4017088171
Mporokoso,4098915391,6638948199
Dongchong,2981841947,3565876646
Moquegua,2664913700,3492869556
Tiraspol,0768641039,8997314815
Bāsawul,8073755629,7980923286
Ngluweng Dua,7228231384,7008934602
Azul,0070488088,6541768501
Petrolina de Goiás,0035400846,4484487705
Altamira,7134680134,4708785917
Peterhof,0405739745,0934706050
Oeleon,0187034168,1220214817
Gastello,0713871466,9778314187
Malczyce,6185672154,9595745014
Dublin,3614476448,2963324278
Xiangcunxiang,2121137351,7436787748
São José,2888431602,4892842648
Brinkmann,8372979464,8624423155
Gia Ray,3285866543,4200219271
Peer,2011103975,4386242686
Zheleznogorsk,9298350198,8283186345
Luo’ao,0518293505,7730991748
Baofeng,5278103272,3303148244
Sundsvall,3400873179,3180030194
Xuanhuadian,7672494031,3086334010
Secunda,8403810407,4176954973
Huangkeng,0347548466,8084838792
Novohrad-Volyns’kyy,9314326438,0744319153
Zhangjiabao,6426737194,8917286828
Sîr ed Danniyé,0677017480,7931906616
Oetua,4917206812,4877555102
Xin’an,3762949034,7511630642
Balai,1473033829,4856846582
Nikopol,8387938866,8976182774
Nafada,8300937129,7389091428
Budapest,5662367000,4129226193
Wilkołaz,8019436391,5295865916
Jindong,7198545297,7943413539
Bodiosa a Velha,8549045446,8328525909
Quisqueya,7997298053,5337251775
Angochi,9095992020,8409568276
Vailoatai,1843806061,7277208145
Saint-Germain-en-Laye,6183146943,4291063555
Maslovka,7696097806,3092880102
Donggong,3732813630,1895000734
Vannes,4269894423,0967795230
Goczałkowice Zdrój,2358658065,9874563982
Vilya,2698651288,7352456279
La Chapelle-sur-Erdre,1547644907,1934374741
Bertioga,8504808084,9773308847
Veruela,1643605720,3594312593
Angoulême,0425956083,7798851569
Matou,6082989155,9384680907
Kamaris,6873671878,1647854458
Makoua,3820577289,3207113397
Dzüünkharaa,1842234722,4481326794
Zolotonosha,3162879892,9292723022
Blarney,2638691674,3997788243
Barice,1747540099,7685181509
Pochinki,5788303303,3952094099
Tubuhue,7806637664,6672301380
Korostyshiv,2078822213,4752862077
Dundrum,4043132204,7018578094
Mahikeng,4590559838,6050671214
Sanankerto,5948240053,1874362459
Luojiaping,6803892808,3305697679
Saidpur,0794516653,1565028988
Koina,5089437211,9407762432
Pirava,0632997443,5760687778
Reforma,3017263649,4362271562
Ferraz de Vasconcelos,7622865753,1071808176
Phichai,2865481530,5963863856
Khelyulya,0373528388,8102937262
Songshu,6552265085,8194193575
Dyurtyuli,9288779892,9224856411
Zhezqazghan,2475759615,9394968865
Pilar,2704127727,0774638311
Černilov,9459277039,4938675196
Kauit,3822723347,2772863174
Štěchovice,4052793978,5570677925
Villa Bustos,8463419763,7261234303
Tungawan,5327661024,7453484855
Shūsh,1161974857,1884520103
Kayapa,7176290903,3183274515
Montecristi,8665527745,3926808233
Nungwi,9262128711,0263902129
Yoshkar-Ola,8928779006,5925868021
Hwado,2029819379,3729844229
Baguim do Monte,2547068656,0738368172
Oroin Xibe,2254167308,5750051781
Padamulya,0349052085,9231362690
Banjar Susut Kaja,0387380213,9003603618
Kliteh,8389004593,5005567496
Nyrob,6197621878,2333408103
Gammad,0373448252,8955952643
Stochov,2170182918,5064233507
Smiltene,8033553227,9557649801
Bantardawa,4447251000,2265859273
Temuji,7907305772,5357024030
Ngunguru,2901348491,1943896828
Niopanda,8897195229,6824957127
Yemva,4076750713,2873320273
Kanturk,5945027669,5022083302
Grenoble,5484218969,9354594794
Gandara,5138429353,3036762795
Borzna,1366337670,6701742009
Malārd,1287245013,3986794956
Orekhovo-Borisovo,0534669999,2967524867
Verdizela,3915539104,4574422661
Cerro Azul,9833196519,0202595803
Gardawice,0183159772,2459067291
Niedźwiedź,4256903240,4490438869
Jiangnan,5903266207,0895684748
Bąków,9033061988,4260159577
Pongol,2042121487,7796796668
Rantaupanjang,1530058023,7619875166
Blantyre,7934102917,6095582687
Sindangkopo,8201170660,7379001833
Piñas,9286717334,5614593721
Malabonot,9646836003,9297967418
Piteå,9845795382,7429989063
Miyakonojō,9128852680,0594589258
Lidköping,2109765550,4020380678
Atipuluhan,9022538370,1586730061
La Virgen,3868706984,1096065045
Krasnodon,5757647140,4832502999
Tudela,3447702826,6222370284
Três Rios,6422528094,8385727655
Klakeh,0838070485,9588148928
Kasserine,1335707123,6541236844
Nova Praha,4673708490,3123355047
Gò Dầu,3358034704,5718147744
Kudang,0195846540,8714655039
Songjianghe,7021338333,4749706493
Ekerö,5255025216,4707180655
Bardiyā,4827983321,4896330595
Malešići,5829259907,3942044226
Catania,3930543737,7419908397
Dadapan,0424301423,8713271334
Bajina Bašta,2062262787,1674368380
Chenfang,3856428232,1978356005
Santo Amaro,0273603582,9505057164
Sison,7139162239,6327360483
Amvrosiyivka,8406402547,9905921370
Zalanga,6564788304,6766565616
Santa Eulalia,3221872828,0285586416
Ylöjärvi,1849611688,8285188272
Psachná,5495011678,5310486623
Ålesund,8708266638,2709005840
Novohrad-Volyns’kyy,6805812054,0390174823
Kiten,5005303960,9272676118
Hluboká nad Vltavou,8423765490,9767894306
Sidzina,2611159769,9592490279
Hualmay,5164940205,3205986954
Cabinda,6750862632,2407868552
Tanudan,7088290820,2371866490
Novodvinsk,6979022148,0737680180
Zarzal,7265802837,3862598969
Ždánice,8813947283,5754333196
Kabin Buri,4659055205,5034971925
Lopatinskiy,8517026837,0787234583
Grammatikó,9263799415,4464855792
Delgado,8143495892,5690110485
Magoúla,7636369044,5518549032
Bifeng,1667073672,5163133721
Dasha,8285488802,7877220936
Boca de Parita,2535700999,7586822425
Goričan,8709318550,5711503928
Lidingö,1763865932,3070479472
Porto Calvo,1978112572,4829326441
Namerikawa,5897233004,7048023821
Rydułtowy,5688990228,6090271268
Nāḩiyat Hīrān,2257257731,0540521531
Beichengqu,5122181837,6340110746
Don Carlos,7086389285,8085677466
Montilla,8799693399,5229293861
Bjuv,0320739988,2494635993
Quimbaya,5051664539,4566506096
Wādī Raḩḩāl,5761557975,3385191203
Gore,4520982065,5114829068
Levallois-Perret,4017228070,2885203102
New Agutaya,1011662639,0801900077
Gjirokastër,6735588487,5641985511
Rolândia,9619107004,2576239900
Sukpak,7322855655,2554131929
Quảng Yên,8839269339,1808896734
Shepetivka,6292003647,0419268987
Sovetsk,6507114472,1484628403
Hutang,4292509891,6653467694
Hägersten,8805181544,3681968837
Mascouche,7044916414,4455581839
Victoria,8266810672,9542539150
Quintela,4701066621,7105838590
El Salitre,3272814760,7498930919
Sann,6361871274,8604871225
Stockholm,5191288335,7993618762
Avaré,6512265491,1751664910
Täby,2088032193,7245752303
Lazaro Cardenas,9627670677,5352254836
Fengjia,3228150186,2162567733
Manacsac,9079492248,4614980279
At Tawāhī,4396283792,1959252224
Dahay,8771455655,1016907516
Alaminos,9118164714,9097040086
Sanyang,4814521200,7404202639
Yangxi,0711681120,0394540417
Celorico de Basto,5892754677,7539129263
Wufeng,5576466659,7299084422
Škofljica,4290723462,6156912061
Klang,8714458543,6383243969
El Congo,4155167883,3027683357
Larap,9912906837,4091052274
Koukkuniemi,3718239957,6551251366
Verkhnya Rozhanka,0451238524,7331476661
‘Anīn,9871133715,9088737851
Sikka,4298517667,4518282922
Datartua,4460589982,5276287880
Sinmak,9032859617,8940815017
Kolbudy,8991378722,9014178700
Kafr Baţnā,1699995680,7156780395
San Jose Village,5721831529,7895377574
Unaí,6143298548,2772147878
Vynohradivka,6314962897,4561063498
Cieplice Śląskie Zdrój,8697128692,3296326294
Quzi,2760639770,1506608469
Rio Branco,5175906925,3428642554
Warin Chamrap,3954052202,5780654255
Phayao,5739241103,2933594048
Qarqīn,0888458126,9290908564
Agpangi,6826325578,3752518391
Jiujie,2853440516,8042831498
Lakota,2004042923,1359512853
Rodnikovskaya,9065258612,7204391616
Pashkovskiy,9433820657,5149935387
Sandgerði,9681263901,8922758376
Strasbourg,5849420002,5469176673
Qixing,4165560146,0491711816
Santa Cruz,2737268451,3006818938
El Almendro,9471636817,7268790171
Nanlang,8571383383,9365697409
Valday,9730263779,4070250220
Mugumu,7972681163,8322557205
Xiaxi,4544791022,7591874306
Hanggan,5777459226,2790227373
Gracias,9863610690,1292708077
Du’ermenqin,1211870529,9358531304
Zhongdong,0724771085,9508765070
Thul,9279429868,6341114273
Matiguás,7105252626,0653170955
Hanjianglu,2922271382,1362703435
Hofors,5844995570,3843226296
Hirara,9683855598,6703392145
Zhongluotan,8230877653,4436756874
Cesvaine,6986456220,8180419959
Wanjia,1261859820,4242620713
Shuangxi,6666060350,2290358657
Catarman,1954369336,6348660435
Légua,6564172141,3719453340
New Yekepa,8453499314,9794087939
Dayapan,0255987250,4851826435
Zhaowanzhuang,0376813083,4803519587
Dzyarzhynsk,3999999845,2593471484
Vyaz’ma,9254761826,4571654499
Margarita,8124892741,9829221474
San Miguel,5478407984,9204752238
Kėdainiai,0243018134,4034394013
Bouça,7964620444,0665355084
Guling,5963543029,4309954251
Shiki,3570332969,9102299720
Bridel,3916926497,7166812605
Yoiqag,4031167407,9777315244
Novorozhdestvenskaya,3395265722,7952028308
Báguanos,7711627270,6671852111
Ljungby,5249306349,4931973450
Tukbur,9777677138,0061509477
Rueil-Malmaison,0816595798,6940920749
Fernandópolis,3636086979,2024324908
Cape Coast,5213052622,5934401017
La Esperanza,9165993381,9105322596
Przeworsk,6260328923,7453260876
Včelná,2933275422,5404015926
Tanggeung Kolot,3234235066,2169861718
Ambulong,3726955666,2106347219
Dogarmo,6529338667,6376556620
Wawer,1162129409,3260354735
Blagoveshchensk,4935017554,8043017182
Lipov,9387661946,0351536566
Misheronskiy,6034355230,9378697569
Cabrobó,5326745143,7725958134
Baisha,9638158417,7642312814
Laba Goumen,3489413431,8895342771
Bongouanou,6796005708,2032700840
Zhangatas,1667313819,8507096190
Dongshangguan,5937604318,1240880022
Gareba,7506573261,5211233913
Pante Raja,7867995714,9163620219
Tarbes,3950223088,5972049856
Toledo,6341123833,2228765058
Nangang,6717435070,9130049881
Oslo,7880817867,3885697718
Kauman,4971338438,4180852918
Bolou,9329798101,3160960781
Kalino,2972229452,9077781900
Grenoble,3755177072,9547616943
Taiping,9180052002,8168290267
Tabor,3510541308,2734263815
Sindou,0290786657,2134987766
Przyborów,2363983149,0045962634
Carmen de Viboral,4134909589,0100732631
Carodok,7315670653,9852497995
Lukou,0049629077,1804385352
Banjar Danginsema,6517758771,8552596571
Yunxi,7834090909,1570157340
Khoronk’,2976581266,5649491372
Heshi,6691834933,1420986627
Qal‘ah-ye Shāhī,3891112238,6301494024
Serzedelo,3653810906,1272269841
Suqin Huimin,2065476788,0133131793
Carhué,9297002315,9834437668
Votkinsk,4604112762,5040880391
Gjoa Haven,7163844875,3151567967
Orléans,4806831026,6975418659
Fresnes,0778438988,3930072467
Banjar Dauhpura,5550412969,6293958403
Kōfu-shi,6004512567,5562299526
Hankazi,1706883242,4531703065
Jingang,2355139962,6925541899
Hetang,3270651449,4874961134
Fushan,9736858367,0743938399
Santiago,6782196972,6696499563
Kirkuk,0322806577,3397839459
Memphis,3661471708,3730409298
Zagazig,4180002485,5737753050
Krasnyye Chetai,6057513185,5840577537
Itápolis,9380663358,9076680469
Rizal,3701165068,7662358623
Lanckorona,2229910051,4319115848
Vila do Maio,5119854052,9575401654
København,1153886332,8788471314
Talok,5346659471,2530311048
Jingjiang,9266322970,3660643580
Извор,1288569645,5321935653
Pho Duc,1246368080,9464376082
San José de Bocay,0318316927,0691760322
Huambo,6659268391,0950234494
Gävle,3656747857,3059121273
Machala,0484732846,0173987370
Taiba,5992647805,2965306722
Philadelphia,0155210696,6804261860
Fort-de-France,8832627493,8809841611
Tominian,9212870376,9734351966
Onega,7456926530,6214681624
Moroto,0485454521,6895488944
Truskolasy,1544048491,8867546031
El Hermel,3624734083,2609332548
Xiluo,7745351960,5891504111
Kameoka,5298356257,0990112624
Shifan,3359106458,6403909215
Xinsheng,8694771977,5341775228
Calhetas,4518597168,2075572860
Miramichi,0802558577,1986866939
Jiatou,1642071560,7612943042
Rantepang,7619446230,1295100347
Butajīra,8172767935,9638012552
Chalamarca,4460605384,7702669764
Sīrīs,4594460097,7824261719
Hongchun,1243962658,8021945710
Dowlatyār,3425091123,4232954058
Tétouan,7788857017,9729634505
Yuanlin,9999314848,0293421986
Jankomir,8762315897,0925971227
Butiá,6324185079,8343302435
Dambulla,3599138338,8169407206
Södertälje,0152614281,1521758417
Oceanside,9913323363,3318268038
Teno,1076382479,2562924355
Campbellton,3125497981,4366183137
Ningmute,4006312075,6875920905
Fenghuangdong,1124017380,7834422057
Kyzyl-Burun,1615893970,3448667668
Desē,8236684164,6238091568
Thatèng,8806260480,9992301643
Wanzhai,8768726112,5222564819
Currais Novos,9449903204,5636867077
Danao,3702068392,2961032989
Palmital,8319611741,9130111285
Kumanovo,9860702640,8761082600
Grangwav,1662862164,6010031672
Tolkmicko,6130251920,9915057709
Sumuragung,9271644913,2402633670
Pando,7936444599,9685219753
Huarancante,7159781481,2364338980
Bouarouss,7319134403,5403233164
Cilolongokan,8260967782,3539594248
Chengji,3590572868,6853437470
Balidian,8451849350,3975711086
Trzebnica,7232283806,0563377852
São João da Barra,7194986949,8585352442
Valday,5387930323,7333134148
Tai Po,4918776639,9270362647
Mazatenango,3732987329,7467984170
Thomazeau,2294555511,5002913237
Emiliano Zapata,2727404328,2305712634
Nueve de Julio,9478630504,3832471413
Palaió Fáliro,7418877366,7353368357
Dukuhsawah,8273903710,5135335102
Xunzhong,0667871055,3000427155
Kukawa,0050958208,7401095769
Itaocara,7080741025,6747609638
Montpellier,7867494111,0936223502
Liješnica,3065131722,1969484179
Purísima,5710475351,4212980304
Huertas,9487047956,7119892347
Kudymkar,8441254990,8285075192
Świecie nad Osą,0272772372,4163960341
Senta,3381612298,5464910549
Baoping,4305849283,6632936148
Waterloo,3255955564,6861760420
Peruíbe,5351113325,0029104912
Shinyanga,1234721201,6744057189
San Fernando,0800520114,6922683463
Moyuan,0589250353,6224166730
Fort Abbās,5480938347,6359491915
Panalingaan,0953344843,7256864043
Blatnica,8631469998,5229387173
Potrerillos,2371123498,5732895612
